,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category,dor_threshold
Zfp947,0.4235357177282515,1.9815813646028695,1.3145039329547012,0.7530193236714976,2.2489006475356503,0.015779601964855394,8.86248087229,0.9546382043581321,0.04536179564186802,0.26897012906730006,6.584083316347317,0.4398124384375483,2.2489006475356503,4.976922600255297,0.25,0.834437675739,2.46585099732,1.631413321581,1.32813141119,3.33136480636,3.96677583701,Unimodal,
Atad2,0.0,2.3031127452366973,-1.482065570860656,0.042270531400966184,5.166253951451971,2.106084474392165,10.8380445296,0.5092319207752101,0.4907680792247902,2.2365115597029135,7.76124351894457,1.4380830055263667,4.947873651571755,9.071625449018608,0.25,2.15135028665,7.875930807895001,5.7245805212450005,4.709862391685,4.22266140295,5.77426669636,Bimodal,0.95
Bhlhb9,0.0,2.4361567990539204,-1.2745168837150986,0.1932367149758454,4.337950296808502,0.6259550991601017,10.8040445207,0.646447532569167,0.3535524674308273,1.300740822597725,7.520350107483401,1.4897139552055672,3.4996990317247336,10.337199914760424,0.25,0.7905016920562501,6.874622720197499,6.084121028141249,2.14528700234,3.84575268604,5.25968195829,Bimodal,0.95
Vcam1,0.9906387230475139,1.0210138888662252,20.25379682580711,0.5591787439613527,1.3738786814385207,0.010331816929852411,9.57287070811,0.9869665335407474,0.01303346645925232,0.5207951360703897,7.030175444931561,0.5228514988107834,1.3738786814385207,1.3689439098458316,0.25,0.7777573494865,1.5953636009975,0.8176062515110001,1.1014561769800002,3.3341895714,4.41221993008,Unimodal,
Mns1,0.0,2.066576659635321,-1.2602295063697275,0.10024154589371981,4.743785518602449,1.8848479413958281,10.8627141244,0.6074550805636167,0.39254491943638276,1.9491253830371016,7.857075344845855,1.9488306713678054,4.268261124829499,10.277984512047075,0.25,1.6150300073825001,7.225859209235,5.6108292018525,3.247759494465,4.04307166303,6.0266385743,Bimodal,0.95
Tbc1d5,0.0,1.9746923462601524,-1.2406938499616051,0.16304347826086957,4.231011587159132,0.894991097571773,10.3875758115,0.5853264647212232,0.4146735352787786,1.3620894509032995,6.617026419712744,1.7188604406821264,3.541172741426665,8.426490255429332,0.25,1.0257130521575,6.1483321177825,5.122619065625,2.72330011513,3.11101251442,5.07058972012,Bimodal,0.95
Sardh,1.0,2.2541589541182243,163.23962596189813,0.9734299516908212,2.3953048199769316,-0.004506446400176223,8.64549386408,0.9951690821256038,0.004830917874396135,0.027075420945342838,7.5966397951325,0.05421247413580413,0.06364336478199577,0.32987786613255027,0.25,0.0,0.0,0.0,0.0,3.31534690708,4.87980543835,Discarded,0.95
Wdr75,0.0,2.2901199671678922,-1.5019840541047746,0.07125603864734299,5.170016507667835,7.935072032164077,10.4403029543,0.4580661970822911,0.5419338029177092,1.7227854583602784,7.403988839019828,1.52770215793376,4.801621611590054,9.545728790704825,0.25,1.7606757878825,7.695193410629999,5.934517622747499,5.457574661055,3.70304207348,5.32279400889,Bimodal,0.95
Slc17a9,0.0,2.3358122732946676,-0.4919379193093705,0.338768115942029,3.687590818883946,0.2035556270445582,10.2233169545,0.7338008563141368,0.2661991436858705,0.8497255837620313,6.817539826313235,1.2750863288075536,2.438352624805508,8.23695554188406,0.25,0.0,4.563823222375,4.563823222375,1.184056287825,3.41966293296,4.68077355988,Bimodal,0.95
Bivm,0.17011033758106553,2.247356632338833,-0.7707168265838598,0.5440821256038647,3.115893479430298,0.005946236437193386,10.1997682276,0.8396795584864453,0.16032044151354685,0.4868275759434824,6.31118750926027,0.904180007931864,3.115893479430298,6.7261507429902325,0.25,0.997652339838,5.32490600933,4.327253669492,1.83404995605,3.16459741679,4.18299827505,Unimodal,
