,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category
Gm37298,0.6092585325835016,2.288824175606499,-0.2423117617131929,0.8623188405797102,2.7828629847546797,-0.005172134733012479,9.32867717381,0.9586469654894856,0.041353034510514676,0.1283787633860574,6.289209325844444,0.2872233553305234,2.7828629847546797,6.364725660509337,0.25,0.95102187213075,4.479200859725,3.5281789875942504,1.5912927854199999,3.04307351306,3.52138926487,Unimodal
Ppil4,0.0,2.3807713331399123,-1.4706942054686567,0.05253623188405797,5.551784622475348,8.09623209131826,10.9185222876,0.4330099456299579,0.5669900543700437,1.9847509064437951,7.761508093788015,1.44546030670898,5.551784622475348,8.559045234017434,0.25,2.44734401575,8.1494194456,5.70207542985,6.60076559598,4.05018595676,5.58049330512,Bimodal
Cacna1b,0.9743802901676811,1.0414379396543196,23.422217597841275,0.8586956521739131,1.1973421877660897,-0.008231977708422378,9.11185279906,0.996376811594201,0.00362318840579907,0.1426008475223604,7.481112254224396,0.1792518666554491,1.1973421877660897,1.419429449589035,0.25,0.6548804817325,1.3259713122175,0.6710908304850001,0.8925714736629999,3.30264650214,5.3934617496,Unimodal
Spag6l,0.9959699527804242,1.1184548644819343,14.705080584755802,0.6745169082125604,1.4112084461595085,-0.004176014195941713,9.05421735663,0.984985181184504,0.015014818815496576,0.3687732286289766,6.399565920586858,0.42999327855115826,1.4112084461595082,1.6334254900656833,0.25,0.7794271397804999,1.531299403885,0.7518722641045001,1.10738089981,3.35669806964,3.91728404927,Unimodal
Zbtb10,0.9938902094998383,1.5725497235293968,3.7693722662484,0.29891304347826086,2.0496071571124195,0.018213228971991402,9.67652052529,0.919290831801211,0.08070916819879402,0.99103616341156,6.51601790198212,0.9158592180865324,2.0496071571124195,3.2839389240698833,0.25,0.957072167665,2.19009138917,1.233019221505,1.43899008203,3.64126596482,4.65083826639,Unimodal
Mbtps2,0.029473774976157108,1.9568862595683723,-0.31699968065108886,0.20954106280193235,3.0083757305604255,1.2390630025698537,10.1824439082,0.7793516089797148,0.2206483910202874,1.2272648625511995,6.442497182166206,1.2213787296364191,3.0083757305604255,5.570000605274467,0.25,1.21752215322,4.85106556588,3.63354341266,1.96867694003,3.43754211536,4.85106556588,Bimodal
Sec23ip,0.0,2.0919199077362554,-1.406441086093371,0.17632850241545894,4.2721411065047805,0.47037365573756773,10.9137147662,0.6036123769890777,0.39638762301091973,1.3699026868936923,6.791207620358739,1.6069256667900225,4.27214110650478,7.275581738707547,0.25,1.679601752945,6.85124140869,5.171639655745,3.9576230632850002,3.32481764821,5.09979106263,Bimodal
Fcer2a,0.9783191143230073,1.7586397356359056,8.394996817300651,0.9293478260869565,1.7318167623534444,-0.0017318438067598918,11.5061043999,0.9933574879227053,0.006642512077294686,0.07160435816054285,7.712126547387274,0.12454613132832658,1.7318167623534444,4.46571825982462,0.25,0.740755741907,1.66827821372,0.9275224718130001,1.05957361136,2.88470914213,5.26421129058,Unimodal
Cdip1,8.543433491881025e-06,2.1036780045290318,-1.180879604415584,0.22584541062801933,3.802640299093575,0.4133734096127295,10.184820245,0.7046001783610106,0.295399821638992,1.2294310655849998,7.033091894413431,1.5841579939230725,3.802640299093575,7.842535636307521,0.25,1.3443090528550001,6.5422375251925,5.1979284723375,2.63948363038,3.55744898327,5.17881450208,Bimodal
Chl1,0.9135754530677204,0.9837047945190599,24.973688207066253,0.8333333333333334,1.2338296287627535,0.008375465334505061,8.8786079381,0.9951690821261454,0.0048309178738545795,0.1746941764275817,6.580121848951225,0.20384178632683053,1.2338296287627537,1.1420915236949614,0.25,0.732820914616,1.4015688866925002,0.6687479720765003,1.020772789825,2.69286944868,4.20952232599,Unimodal
Prkab1,0.0,2.5231182623412227,-1.583409723816586,0.08635265700483091,5.224314651270248,7.984774826076543,10.5470854994,0.4985143792940535,0.5014856207059473,1.7629101030946417,7.765616806372727,1.4149959876165483,5.224314651270249,9.057286856410323,0.25,2.10931605374,7.98702160919,5.8777055554499995,6.20098113933,4.05472563477,5.54417633168,Bimodal
